artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Louis Armstrong,What A Wonderful World - Single Version,"['adult standards', 'christmas', 'dixieland', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",0.391,0.397,5,-9.273,1,0.031,0.742,0.000371,0.177,0.196,108.034,audio_features,54qlDxxbJHZ252sE1hJJtC,spotify:track:54qlDxxbJHZ252sE1hJJtC,https://api.spotify.com/v1/tracks/54qlDxxbJHZ252sE1hJJtC,https://api.spotify.com/v1/audio-analysis/54qlDxxbJHZ252sE1hJJtC,135707,3,Louis Armstrong|What A Wonderful World
James Taylor,Never Die Young - Live at the Colonial Theatre,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",0.459,0.239,4,-11.682,1,0.0338,0.945,0.000182,0.798,0.334,114.856,audio_features,3CiZ8pnm5vkMHfE5Z0JwvU,spotify:track:3CiZ8pnm5vkMHfE5Z0JwvU,https://api.spotify.com/v1/tracks/3CiZ8pnm5vkMHfE5Z0JwvU,https://api.spotify.com/v1/audio-analysis/3CiZ8pnm5vkMHfE5Z0JwvU,264120,4,James Taylor|Never Die Young
Eria Fachin,Savin' Myself,[],0.767,0.779,5,-5.104,1,0.0318,0.0631,3.73e-05,0.195,0.89,135.032,audio_features,0akxjbTfOeUjdT9FLDZvhY,spotify:track:0akxjbTfOeUjdT9FLDZvhY,https://api.spotify.com/v1/tracks/0akxjbTfOeUjdT9FLDZvhY,https://api.spotify.com/v1/audio-analysis/0akxjbTfOeUjdT9FLDZvhY,213410,4,Eria Fachin|Savin' Myself
Alexander O'Neal,Never Knew Love Like This - Extended Version,"['disco', 'funk', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",0.741,0.661,9,-9.448,0,0.0313,0.282,0.0,0.106,0.851,102.636,audio_features,42UeyYqZE5AMoEvfWWN7gY,spotify:track:42UeyYqZE5AMoEvfWWN7gY,https://api.spotify.com/v1/tracks/42UeyYqZE5AMoEvfWWN7gY,https://api.spotify.com/v1/audio-analysis/42UeyYqZE5AMoEvfWWN7gY,338973,4,Alexander O'Neal Featuring Cherrelle|Never Knew Love Like This
Whitesnake,"Give Me All Your Love - Starkers Live In Tokyo, Japan, 7/5/1997 [Remixed]","['album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",0.441,0.544,1,-8.103,0,0.0598,0.204,0.0,0.699,0.534,117.238,audio_features,1zeDzHrE4SOTJufGxvZxgZ,spotify:track:1zeDzHrE4SOTJufGxvZxgZ,https://api.spotify.com/v1/tracks/1zeDzHrE4SOTJufGxvZxgZ,https://api.spotify.com/v1/audio-analysis/1zeDzHrE4SOTJufGxvZxgZ,197813,4,Whitesnake|Give Me All Your Love
Gloria Estefan,Can't Stay Away from You,"['dance pop', 'latin pop', 'new wave pop']",0.577,0.295,2,-15.448,1,0.044,0.575,7.22e-05,0.0591,0.594,77.938,audio_features,3JeTD3IfCntCx3nLSAv56U,spotify:track:3JeTD3IfCntCx3nLSAv56U,https://api.spotify.com/v1/tracks/3JeTD3IfCntCx3nLSAv56U,https://api.spotify.com/v1/audio-analysis/3JeTD3IfCntCx3nLSAv56U,235760,4,Gloria Estefan & Miami Sound Machine|Can't Stay Away From You
Fleetwood Mac,Family Man - 2017 Remaster,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.778,0.669,7,-9.735,1,0.0367,0.0354,0.0132,0.0973,0.834,123.543,audio_features,5imQyf3wovOKeak0Vf4Alo,spotify:track:5imQyf3wovOKeak0Vf4Alo,https://api.spotify.com/v1/tracks/5imQyf3wovOKeak0Vf4Alo,https://api.spotify.com/v1/audio-analysis/5imQyf3wovOKeak0Vf4Alo,247133,4,Fleetwood Mac|Family Man
Paul Carrack,Don't Shed a Tear,"['adult standards', 'classic rock', 'mellow gold', 'new wave pop', 'soft rock']",0.644,0.657,11,-11.167,0,0.0307,0.0609,7.55e-05,0.0498,0.945,109.785,audio_features,71Rr9TzqLF8NwsexpfyipC,spotify:track:71Rr9TzqLF8NwsexpfyipC,https://api.spotify.com/v1/tracks/71Rr9TzqLF8NwsexpfyipC,https://api.spotify.com/v1/audio-analysis/71Rr9TzqLF8NwsexpfyipC,295427,4,Paul Carrack|Don't Shed A Tear
The Cure,Hot Hot Hot!!! - Extended Mix; 2018 Remaster,"['alternative rock', 'dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']",0.772,0.883,4,-7.727,0,0.038,0.0157,0.0225,0.311,0.507,111.726,audio_features,4B0S7UERT3DxanqrcEmvkT,spotify:track:4B0S7UERT3DxanqrcEmvkT,https://api.spotify.com/v1/tracks/4B0S7UERT3DxanqrcEmvkT,https://api.spotify.com/v1/audio-analysis/4B0S7UERT3DxanqrcEmvkT,417533,4,The Cure|Hot Hot Hot!!!
Stacey Q,Don't Make A Fool Of Yourself,"['freestyle', 'hi-nrg']",0.809,0.301,11,-17.904,0,0.056,0.076,0.000552,0.192,0.763,114.144,audio_features,1dCatT06gfaBkMgBu0NZNz,spotify:track:1dCatT06gfaBkMgBu0NZNz,https://api.spotify.com/v1/tracks/1dCatT06gfaBkMgBu0NZNz,https://api.spotify.com/v1/audio-analysis/1dCatT06gfaBkMgBu0NZNz,251640,4,Stacey Q|Don't Make A Fool Of Yourself
Sting,Be Still My Beating Heart,"['permanent wave', 'soft rock']",0.664,0.607,7,-11.863,1,0.041,0.246,0.000466,0.043,0.526,101.405,audio_features,64QBAukSn0sTIxc2wVbcP9,spotify:track:64QBAukSn0sTIxc2wVbcP9,https://api.spotify.com/v1/tracks/64QBAukSn0sTIxc2wVbcP9,https://api.spotify.com/v1/audio-analysis/64QBAukSn0sTIxc2wVbcP9,332667,4,Sting|Be Still My Beating Heart
George Harrison,When We Was Fab - Remastered 2004,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",0.507,0.6,5,-9.088,1,0.0236,0.59,0.00408,0.291,0.387,92.416,audio_features,6fAADiK2jnjdm5QRI7hSYc,spotify:track:6fAADiK2jnjdm5QRI7hSYc,https://api.spotify.com/v1/tracks/6fAADiK2jnjdm5QRI7hSYc,https://api.spotify.com/v1/audio-analysis/6fAADiK2jnjdm5QRI7hSYc,239853,4,George Harrison|When We Was Fab
